3828,"CDs & Vinyl,New Age,Celtic New Age,CDs & Vinyl,New Age,Meditation,CDs & Vinyl,Pop,CDs & Vinyl,Rock,Digital Music,New Age,Celtic New Age,"
11830,"CDs & Vinyl,Christian,Rock & Alternative,CDs & Vinyl,Rock,Digital Music,Hard Rock & Metal,Hard Rock,"
3612,"CDs & Vinyl,Dance & Electronic,CDs & Vinyl,Pop,Dance Pop,CDs & Vinyl,R&B,Soul,Digital Music,R&B,Soul,"
1239,"CDs & Vinyl,Classic Rock,CDs & Vinyl,Pop,Oldies,Baroque Pop,CDs & Vinyl,Rock,Digital Music,Alternative Rock,Indie & Lo-Fi,"
3812,"CDs & Vinyl,Alternative Rock,New Wave & Post-Punk,New Wave,CDs & Vinyl,Classic Rock,Album-Oriented Rock (AOR),CDs & Vinyl,Pop,CDs & Vinyl,Rock,Digital Music,Alternative Rock,New Wave & Post-Punk,"
25920,"CDs & Vinyl,Folk,Contemporary Folk,CDs & Vinyl,Jazz,CDs & Vinyl,Pop,Oldies,Baroque Pop,CDs & Vinyl,Pop,Singer-Songwriters,CDs & Vinyl,Pop,Vocal Pop,CDs & Vinyl,Rock,Digital Music,Pop,"
29103,"CDs & Vinyl,Jazz,Bebop,CDs & Vinyl,Jazz,Brazilian Jazz,CDs & Vinyl,Jazz,Cool Jazz,CDs & Vinyl,Jazz,Latin Jazz,CDs & Vinyl,Jazz,Modern Postbebop,CDs & Vinyl,Latin Music,Samba,CDs & Vinyl,Pop,CDs & Vinyl,World Music,South & Central America,Brazil,Bossa Nova,Digital Music,Jazz,Latin Jazz,Digital Music,Latin Music,Samba,"
51163,"CDs & Vinyl,Jazz,Smooth Jazz,CDs & Vinyl,Pop,CDs & Vinyl,R&B,Funk,Digital Music,R&B,Funk,"
22491,"CDs & Vinyl,Jazz,Latin Jazz,CDs & Vinyl,Jazz,Smooth Jazz,CDs & Vinyl,Latin Music,Latin Pop,CDs & Vinyl,Pop,CDs & Vinyl,World Music,Caribbean & Cuba,Cuba,Digital Music,Jazz,Latin Jazz,"
77058,"CDs & Vinyl,Jazz,Smooth Jazz,CDs & Vinyl,Jazz,Soul-Jazz & Boogaloo,CDs & Vinyl,Pop,Digital Music,Jazz,Soul-Jazz & Boogaloo,"
