775,"Drama, Romance, School, Supernatural"
6,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen"
171,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
16,"Sci-Fi, Thriller"
223,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
113,"Comedy, Drama, School, Shounen, Sports"
124,"Action, Adventure, Shounen, Super Power"
1405,"Drama, Military, Sci-Fi, Space"
235,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
207,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
143,"Drama, Fantasy, Romance, Slice of Life, Supernatural"
2605,"Drama, School, Shounen"
236,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
117,"Action, Drama, Mecha, Military, Sci-Fi, Super Power"
121,"Comedy, Drama, School, Shounen, Sports"
0,"Adventure, Drama, Supernatural"
272,"Drama, Music, Romance, School, Shounen"
305,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
289,"Fantasy, Slice of Life"
148,"Action, Mecha, Military, School, Sci-Fi, Super Power"
834,"Comedy, Drama, Shounen, Sports"
246,"Action, Drama, Historical, Martial Arts, Romance, Samurai"
168,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
215,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural"
180,"Action, Adventure, Fantasy"
100,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural"
317,"Comedy, Mystery, Romance, Supernatural, Vampire"
307,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
39,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
12,"Action, Adventure, Comedy, Mecha, Sci-Fi"
56,"Comedy, Drama, School, Shounen, Slice of Life"
1289,"Comedy, Drama, Shounen, Sports"
698,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
220,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
23,"Adventure, Drama, Fantasy, Romance"
142,"Action, Fantasy, Supernatural, Thriller"
2824,"Action, Mystery, Supernatural, Vampire"
13,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
179,"Comedy, Drama, Romance, Shounen"
14,"Mystery, Police, Psychological, Supernatural, Thriller"
4312,"Comedy, Parody"
790,"Action, Comedy, School, Shounen"
116,"Comedy, Drama, School, Shounen, Sports"
1302,"Comedy, Drama, Shounen, Sports"
465,"Action, Drama, Mystery, Romance, Supernatural, Thriller"
206,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
15,"Psychological, Seinen, Sports"
752,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
2,"Mystery, Psychological, Seinen, Supernatural"
1250,"Mystery, Psychological, Romance"
1475,"Fantasy, Sci-Fi, Shounen, Slice of Life"
