211,Adventure|Animation|Children|Comedy|Fantasy
938,Adventure|Children|Fantasy
358,Comedy|Romance
3172,Comedy|Drama|Romance
352,Comedy
747,Action|Crime|Thriller
361,Comedy|Romance
2704,Adventure|Children
692,Action
415,Action|Adventure|Thriller
236,Comedy|Drama|Romance
2165,Comedy|Horror
5051,Animation|Children
1394,Drama
2568,Action|Adventure|Romance
292,Crime|Drama
178,Comedy|Drama|Romance
2134,Comedy|Drama|Thriller
1602,Comedy
2906,Action|Comedy|Crime|Drama|Thriller
830,Action|Comedy|Drama
1894,Crime|Drama|Horror|Mystery|Thriller
1919,Action|Crime|Thriller
1230,Drama|Sci-Fi
362,Drama|Romance
2205,Drama
2685,Drama
237,Drama|Romance
1016,Adventure|Drama|Fantasy|Mystery|Sci-Fi
37,Crime|Drama
1557,Drama
43,Sci-Fi|Thriller
4508,Adventure|IMAX|Romance
24,Children|Comedy|Drama|Fantasy
2858,Drama|Romance
557,Crime|Drama
7872,Documentary|IMAX
3533,Comedy
338,Comedy|Romance
1328,Drama
873,Drama|War
3164,Action|Crime|Drama
1367,Drama
1072,Action|Adventure|Fantasy
1802,Comedy|Drama|Thriller
1810,Drama|Romance
220,Crime|Horror|Mystery|Thriller
1956,Animation|Children|Musical|Romance
1903,Drama|Romance
106,Crime|Mystery|Thriller
8340,Action|Drama|Thriller
1812,Comedy|Drama|Romance
4594,Adventure|Drama
5651,Children|Comedy
2047,Drama
8339,Adventure|Children|Fantasy
2283,Drama
523,Comedy|Drama|Romance
1480,Drama|Mystery
3504,Adventure|Children|Fantasy
695,Drama|Thriller
214,Drama
1856,Comedy|Crime
213,Comedy|Romance
1369,Comedy
2372,Action|Sci-Fi|Thriller
3262,Drama
1411,Comedy|Romance
992,Comedy
85,Action|Comedy|Horror|Thriller
4042,Action
2624,Comedy|Drama
931,Drama|War
1371,Drama|Romance
3208,Comedy|Drama
699,Action|Sci-Fi|Thriller
4039,Documentary
4729,Drama
1770,Drama|Thriller
1721,Children|Drama
1910,Crime|Drama|Romance
1395,Comedy|Drama
4242,Drama
3055,Comedy|Drama
1372,Drama|Romance
1923,Adventure|Drama
4867,Children|Comedy
1110,Comedy
1406,Action|Thriller
4692,Drama
2859,Drama|Horror|Thriller
4046,Comedy|Romance
2082,Comedy|Drama|Romance
1409,Action|Adventure|Thriller
1876,Comedy|Drama
2437,Drama
4910,Action|Thriller
2055,Documentary
2133,Drama|Thriller
1587,Adventure|Comedy|Crime|Romance
3277,Comedy
2600,Mystery|Sci-Fi|Thriller
221,Comedy
1673,Drama|Romance
3467,Comedy|Drama
243,Adventure|Children|Comedy|Musical
5155,Documentary
26,Action|Drama|War
169,Crime|Drama|Thriller
691,Action|Adventure|Comedy|Crime
3579,Drama|Mystery
1342,Drama
6501,Comedy
3635,Documentary
3798,Crime|Drama
4693,Comedy|Romance
5104,Comedy
3801,Drama
2529,Drama
2,Comedy|Romance
1192,Drama|Mystery|Romance
3399,Drama
376,Comedy
4259,Adventure|Children|Fantasy
7827,Drama
6470,Documentary
4484,Comedy|Romance
8197,Drama
6701,Drama|Romance
3799,Thriller
8025,Comedy|Drama
4623,Documentary
2419,Comedy
3648,Documentary
2588,Documentary
3992,Drama
6743,Action|Drama
941,Drama|Romance
257,Comedy
7921,Drama
6966,Drama
1811,Comedy
1672,Action
2881,Adventure|Children
2282,Drama
2709,Drama
2539,Crime|Drama|Thriller
21,Adventure|Drama
238,Action|Drama|Romance|War
4155,Drama|Horror
